OBJECTID_1,OBJECTID,TRACT,BLKGRP,GEOID,GID,TOTAL_AC,LAND_AC,T_CAN_AC,T_CAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_IA_AC,UN_IA_PCT,TO_UN_AC,TO_UN_PCT,UN_SL_AC,UN_SL_PCT,UN_OT_AC,UN_OT_PCT,WATER_AC,WATER_PCT,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,SHAPEAREA,SHAPELEN
21,21,000300,4,110010003004,21,40.47,40.47,12.68,31.33185075,5.09,12.57721769,11.05,27.30417593,22.7,56.09093155,6.31,15.59179639,1.11,2.74277242,4.23,10.45218681,0,0,0,0,12.68,31.33185075,5.09,12.57721769,10.43,25.77217692,5.34,13.19495923,17.36,42.89597233,17.36,42.89597233,0,0,0,0,0,0,11.37,28.10182897,11.49,28.39841819,3.23002179,2.93343256,1762572.01678019,5481.21891111555
22,22,000400,1,110010004001,22,132.64,132.64,56.08,42.27985525,16.3,12.28890229,17.01,12.82418577,60.27,45.43878166,19,14.32448733,5.66,4.26718938,18.6,14.02291918,0,0,0,0,56.08,42.27985525,15.92,12.00241255,29.47,22.21803378,13.55,10.21562123,35.79,26.98281062,47.1,35.50965018,0,0,11.31,8.52683957,0,0,50.03,37.71579344,43.67,32.92122126,4.56406181,9.35863399,5777580.05808195,10042.0950392739
23,23,000400,2,110010004002,23,245.77,245.73,140.33,57.10739429,36.37,14.80079762,23.72,9.65287104,68.28,27.78659504,28.9,11.76087576,5,2.03475359,10.66,4.33809466,0.04,0.0156846,0.75,0.30521304,140.33,57.10739429,34.85,14.18223253,49.69,20.22138119,14.84,6.03914866,52.61,21.40967729,55.72,22.67529402,0.2,0.08139014,2.91,1.18422659,0.04,0.02,135.49,55.13550907,124.43,50.63069661,1.97188522,6.47669768,10704710.0247873,16120.8262879704
28,28,000100,1,110010001001,28,201.36,201.27,130.67,64.9227406,20.67,10.26978685,19.88,9.87727928,49.92,24.8025041,14.9,7.40299101,5.17,2.56868883,9.97,4.95354499,0.09,0.04565129,0.01,0.00496845,130.67,64.9227406,20.4,10.13563869,32.48,16.13752671,12.08,6.00188801,34.76,17.27033338,38.11,18.93476425,0.01,0.00496845,3.35,1.66443086,0.09,0.05,124.48,61.84112475,122.32,60.7529552,3.08161585,4.1697854,8770280.12922576,14237.0919740102
29,29,000100,2,110010001002,29,49.25,49.2,18.54,37.68292683,7.35,14.93902439,9.22,18.7398374,23.17,47.09349594,7.97,16.19918699,2.11,4.28861789,3.87,7.86585366,0.05,0.09282442,0.13,0.26422764,18.54,37.68292683,6.45,13.1097561,11.95,24.28861789,5.5,11.17886179,17.19,34.93902439,18.71,38.02845528,0.01,0.0203252,1.51,3.06910569,0.05,0.09,17.14,34.80203046,17.87,36.28426396,2.88089637,1.39866287,2145502.48906348,7114.87665574927
30,30,000100,3,110010001003,30,48.03,48.03,17.52,36.47720175,3.09,6.43347908,14.18,29.52321466,27.42,57.08931918,5.6,11.65937955,2.28,4.7470331,5.37,11.18051218,0,0,0,0,17.52,36.47720175,3.04,6.32937747,10.47,21.7988757,7.44,15.49031855,19.78,41.18259421,20.04,41.72392255,0,0,0.26,0.54132834,0,0,16.63,34.63861695,17.45,36.34659446,1.83858479,0.13060729,2091738.71949319,6151.22040258238
31,31,001200,1,110010012001,31,47.62,47.62,28.03,58.86182276,5.03,10.56278874,6.73,14.13271735,14.56,30.57538849,4.93,10.35279294,0.85,1.7849643,2.05,4.3049139,0,0,0,0,28.03,58.86182276,4.96,10.41579168,7.79,16.35867283,2.83,5.94288114,11.66,24.48551029,11.8,24.77950441,0,0,0.14,0.29399412,0,0,24.53,51.51196976,21.97,46.13607728,7.349853,12.72574549,2073980.80180474,7455.6001575275
32,32,001200,2,110010012002,32,44.27,44.27,25.46,57.51072961,5.99,13.53060764,6.11,13.80167156,12.82,28.95866275,4.08,9.21617348,0.55,1.24237633,2.08,4.69844138,0,0,0,0,25.46,57.51072961,5.98,13.50801897,8.51,19.22295008,2.54,5.73751977,10.19,23.01784504,10.3,23.26632031,0,0,0.1,0.2258866,0,0,22.27,50.30494692,19.58,44.22859724,7.2057827,13.28213237,1928292.79220853,7429.22091535986
33,33,001200,3,110010012003,33,48.72,48.72,26.48,54.35139573,5.77,11.84318555,6.97,14.30623974,16.46,33.78489327,6.01,12.33579639,0.97,1.9909688,2.51,5.15188834,0,0,0,0,26.48,54.35139573,5.6,11.49425287,8.79,18.04187192,3.19,6.54761905,12.97,26.62151067,13.45,27.60673235,0,0,0.47,0.96469622,0,0,23.05,47.31116585,21.79,44.72495895,7.04022989,9.62643678,2122097.06021743,8349.61810165635
34,34,001200,4,110010012004,34,160.42,160.42,67.26,41.92744047,20.01,12.47350704,30.59,19.06869468,73.15,45.59905249,22.85,14.24385987,9.66,6.02169306,10.06,6.27103852,0,0,0,0,67.26,41.92744047,18.87,11.76287246,38,23.68781947,19.13,11.92494701,53.31,33.23151727,55.16,34.38474006,0,0,1.85,1.15322279,0,0,54.46,33.94838549,57.1,35.59406558,7.97905498,6.33337489,6987030.45472099,12647.7534776562
35,35,001301,1,110010013011,35,517.06,516.89,464.92,89.9456364,21.91,4.2388129,9.87,1.90949719,30.03,5.80974675,13.24,2.56147343,0.86,0.16637969,6.06,1.17239645,0.17,0.03192406,0.03,0.00580394,464.92,89.9456364,20.66,3.99698195,26.39,5.10553503,5.73,1.10855308,23.11,4.47097061,25.58,4.94882857,0.03,0.00580394,2.44,0.47205402,0.17,0.03,451.98,87.53364966,456.33,88.27352742,2.41198675,1.67210898,22521595.5913295,28509.6421860327
24,24,000501,1,110010005011,24,155.3,155.2,102.01,65.72809278,8.42,5.42525773,14.52,9.3556701,44.65,28.7693299,17.62,11.35309278,4.05,2.60953608,8.47,5.45747423,0.1,0.06603286,0.12,0.07731959,102.01,65.72809278,8.4,5.41237113,20.77,13.38273196,12.38,7.97680412,32.14,20.70876289,32.42,20.88917526,0.12,0.07731959,0.16,0.10309278,0.1,0.07,92.27,59.74101651,90.45,58.26462252,5.98707627,7.46347026,6764381.98113561,14451.2095589845
25,25,000501,2,110010005012,25,78.1,77.9,32.31,41.4762516,10.87,13.95378691,16.34,20.97560976,34.64,44.46726573,10.98,14.09499358,3.51,4.50577664,3.81,4.89088575,0.2,0.25532561,0.09,0.11553273,32.31,41.4762516,10.86,13.94094994,17.8,22.84980745,6.94,8.90885751,27.32,35.07060334,27.8,35.68677792,0.09,0.11553273,0.39,0.50064185,0.2,0.26,32.54,41.68588265,32.42,41.52151639,-0.20963105,-0.04526479,3401796.04545375,11291.6332256763
26,26,000502,1,110010005021,26,100.19,100.19,50.85,50.75356822,10.21,10.19063779,16.51,16.47869049,39.01,38.93602156,11.48,11.45822936,1.96,1.95628306,9.07,9.05279968,0,0,0.12,0.11977243,50.85,50.75356822,10.15,10.13075157,18.97,18.93402535,8.82,8.80327378,27.96,27.90697674,30.37,30.31240643,0.12,0.11977243,2.29,2.28565725,0,0,44.27,44.19045718,39.94,39.86823717,6.56311104,10.88533105,4363658.86722209,12233.1700221057
27,27,000502,2,110010005022,27,43.51,43.51,20.93,48.10388416,3.84,8.82555734,8.45,19.4208228,18.74,43.07055849,5.24,12.04320846,1.24,2.84991956,3.81,8.75660768,0,0,0,0,20.93,48.10388416,3.78,8.68765801,8.8,20.22523558,5.02,11.53757757,13.67,31.41806481,13.78,31.67088026,0,0,0.11,0.25281544,0,0,19.98,45.93103448,17.08,39.26436782,2.17284968,8.83951635,1894938.78311327,7389.68983768946
7,7,000600,2,110010006002,7,113.3,113.29,70.44,62.17671463,11.77,10.38926648,13.29,11.73095595,30.84,27.22217318,8.18,7.2204078,2.26,1.9948804,7.1,6.26710213,0.01,0.0082877,0.25,0.22067261,70.44,62.17671463,11.53,10.17742078,18.95,16.72698385,7.41,6.54073616,21.47,18.95136376,23.9,21.09630153,0.23,0.2030188,2.21,1.95074587,0.01,0.01,68.11,60.11473963,57.75,50.96637543,2.061975,11.2103392,4934964.46682637,9397.84301851725
8,8,000600,3,110010006003,8,43.1,43.1,22.56,52.34338747,5.39,12.50580046,7.1,16.47331787,15.16,35.17401392,4.17,9.67517401,1.09,2.52900232,2.8,6.49651972,0,0,0,0,22.56,52.34338747,5.21,12.08816705,8.84,20.51044084,3.63,8.42227378,11.27,26.14849188,11.71,27.16937355,0,0,0.44,1.02088167,0,0,20.79,48.23665893,15.99,37.09116214,4.10672854,15.25222533,1877427.8617078,5700.53219501456
9,9,000600,4,110010006004,9,147.03,147.02,80.03,54.43477078,19.57,13.31111413,18.84,12.81458305,47.36,32.21330431,13.62,9.26404571,3.14,2.13576384,11.75,7.99210992,0.01,0.00638633,0.06,0.04081077,80.03,54.43477078,15.83,10.76724255,25.07,17.05210175,9.25,6.291661,32.46,22.07862876,41.92,28.51312747,0.06,0.04081077,9.4,6.39368793,0.01,0.01,69.77,47.44967356,63.25,43.01550598,6.98509722,11.41926479,6404332.38770113,13033.4837195349
10,10,000701,1,110010007011,10,43.16,43.16,19.38,44.90268767,5.16,11.95551437,8.31,19.25393883,18.63,43.16496756,6.72,15.5699722,1.24,2.87303058,2.35,5.44485635,0,0,0,0,19.38,44.90268767,5.11,11.83966636,8.6,19.92585728,3.49,8.08619092,15.04,34.84708063,15.19,35.19462465,0,0,0.15,0.34754402,0,0,16.46,38.13716404,14.92,34.56904541,6.76552363,10.33364226,1879693.63523037,6454.44598162123
11,11,000701,2,110010007012,11,19.81,19.81,9.19,46.39071176,2.69,13.5790005,3.28,16.5572943,7.91,39.92932862,3.09,15.59818274,0.75,3.78596668,0.8,4.03836446,0,0,0.02,0.10095911,9.19,46.39071176,2.69,13.5790005,4.16,20.9994952,1.47,7.4204947,6.36,32.10499748,6.47,32.66027259,0.02,0.10095911,0.08,0.40383645,0,0,8.17,41.24179707,7.33,37.00151439,5.14891469,9.38919738,862780.701415564,3845.1482170378
