OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,GID,TOTAL_AC,LAND_AC,T_CAN_AC,T_CAN_PCT,VEG_AC,VEG_PCT,BLD_AC,BLD_PCT,TO_IA_AC,TO_IA_PCT,ROAD_AC,ROAD_PCT,SWALK_AC,SWALK_PCT,OT_IA_AC,OT_IA_PCT,WAT_AC,WAT_PCT,SOIL_AC,SOIL_PCT,UTC_AC,UTC_PCT,PPA_V_AC,PPA_V_PCT,TO_PPA_AC,TO_PPA_PCT,PPA_IA_AC,PPA_IA_PCT,UN_IA_AC,UN_IA_PCT,TO_UN_AC,TO_UN_PCT,UN_SL_AC,UN_SL_PCT,UN_OT_AC,UN_OT_PCT,WATER_AC,WATER_PCT,UTC_AC06,UTC_PCT06,UTC_AC11,UTC_PCT11,PCT_CHG_06,PCT_CHG_11,SHAPEAREA,SHAPELEN
4421,11,001,001301,2011,110010013012011,4421,4.61,4.61,2.17,47.07158351,0.83,18.00433839,0.54,11.71366594,1.61,34.92407809,0.46,9.97830803,0.06,1.30151844,0.54,11.71366594,0,0,0,0,2.17,47.07158351,0.81,17.57049892,1.3,28.19956616,0.49,10.62906725,1,21.69197397,1.14,24.72885033,0,0,0.14,3.03687636,0,0,1.8,38.96103896,1.61,34.84848485,8.11054455,12.22309867,200922.168588616,2035.59526728804
4422,11,001,005800,1002,110010058001002,4422,2.81,2.81,0.14,4.98220641,0,0,1.65,58.71886121,2.67,95.01779359,0.55,19.57295374,0.35,12.45551601,0.11,3.91459075,0,0,0,0,0.14,4.98220641,0,0,0.47,16.72597865,0.47,16.72597865,2.2,78.29181495,2.2,78.29181495,0,0,0,0,0,0,0.11,3.91459075,0.12,4.27046263,1.06761566,0.71174377,122416.098424581,1444.84688662429
4423,11,001,004001,1002,110010040011002,4423,6.43,6.43,1.38,21.46189736,0.16,2.48833593,2.74,42.61275272,4.89,76.04976672,1.03,16.01866252,0.26,4.04354588,0.86,13.3748056,0,0,0,0,1.38,21.46189736,0.16,2.48833593,1.28,19.9066874,1.12,17.41835148,3.77,58.63141524,3.77,58.63141524,0,0,0,0,0,0,1.38,21.46189736,1.48,23.01710731,0,-1.55520995,280036.976188532,2355.05401727156
4424,11,001,009400,1009,110010094001009,4424,2.68,2.68,0.71,26.49253731,0.93,34.70149254,0.39,14.55223881,1.04,38.80597015,0.46,17.1641791,0.07,2.6119403,0.12,4.47761194,0,0,0,0,0.71,26.49253731,0.93,34.70149254,1.12,41.79104478,0.19,7.08955224,0.85,31.71641791,0.85,31.71641791,0,0,0,0,0,0,0.72,26.76579926,0.64,23.79182156,-0.27326194,2.70071575,117011.127613711,1381.64703651164
4425,11,001,005800,1036,110010058001036,4425,4.22,4.22,0.32,7.58293839,0,0,1.95,46.20853081,3.9,92.41706161,1.17,27.72511848,0.69,16.3507109,0.09,2.13270142,0,0,0,0,0.32,7.58293839,0,0,0.78,18.48341232,0.77,18.2464455,3.12,73.93364929,3.12,73.93364929,0,0,0,0,0,0,0.19,4.50236967,0.37,8.76777251,3.08056872,-1.18483412,183633.914883728,1771.74591114829
4426,11,001,011100,1017,110010111001017,4426,2.48,2.48,0.84,33.87096774,0.16,6.4516129,0.3,12.09677419,1.48,59.67741935,0.93,37.5,0.1,4.03225806,0.16,6.4516129,0,0,0,0,0.84,33.87096774,0.16,6.4516129,0.41,16.53225806,0.25,10.08064516,1.23,49.59677419,1.23,49.59677419,0,0,0,0,0,0,0.6,24.19354839,0.66,26.61290323,9.67741935,7.25806452,108182.830575986,1349.92844159598
4427,11,001,000100,2008,110010001002008,4427,2.47,2.47,0.93,37.65182186,0.17,6.88259109,0.62,25.10121457,1.37,55.46558704,0.31,12.55060729,0.16,6.47773279,0.28,11.33603239,0,0,0,0,0.93,37.65182186,0.17,6.88259109,0.6,24.29149798,0.43,17.40890688,0.93,37.65182186,0.94,38.05668016,0,0,0.01,0.4048583,0,0,1.11,44.75806452,0.97,39.11290323,-7.10624265,-1.46108136,107648.921429286,1318.73755920165
4428,11,001,008702,1005,110010087021005,4428,8.92,8.92,2.99,33.52017937,1.59,17.82511211,2.01,22.53363229,4.34,48.65470852,1.11,12.44394619,0.2,2.24215247,1.02,11.43497758,0,0,0,0,2.99,33.52017937,1.59,17.82511211,2.81,31.50224215,1.22,13.67713004,3.12,34.97757848,3.12,34.97757848,0,0,0,0,0,0,2.14,24.01795735,2.56,28.73176207,9.50222202,4.78841731,388339.989132486,2689.49990824436
4429,11,001,007707,2010,110010077072010,4429,3.9,3.9,2.31,59.23076923,0.3,7.69230769,0.1,2.56410256,1.29,33.07692308,0.48,12.30769231,0.32,8.20512821,0.38,9.74358974,0,0,0,0,2.31,59.23076923,0.3,7.69230769,0.89,22.82051282,0.6,15.38461538,0.58,14.87179487,0.69,17.69230769,0,0,0.11,2.82051282,0,0,2.35,60.41131105,2.35,60.41131105,-1.18054182,-1.18054182,169651.299144249,1903.41165818856
4127,11,001,008701,2001,110010087012001,4127,2.19,2.19,0.31,14.15525114,0.19,8.67579909,0.67,30.59360731,1.7,77.62557078,0.52,23.74429224,0.12,5.47945205,0.38,17.35159817,0,0,0,0,0.31,14.15525114,0.19,8.67579909,0.69,31.50684932,0.5,22.83105023,1.19,54.33789954,1.19,54.33789954,0,0,0,0,0,0,0.16,7.30593607,0.22,10.0456621,6.84931507,4.10958904,95450.9506875086,1379.22280141588
