user_id,status_id,created_at,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count
49272262,1.23292E+18,2/27/20 6:42,Rouhani blames enemies amp his cabinet post selfies pretending to have coronavirus Iranians suffer in the tradition of Islamic Republic IMO the outbreak is a welcome distraction-as was the war sanctions PS752 fuel prices IranProtests floods ,Twitter for Android,281,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
3292450065,1.23292E+18,2/27/20 6:41, coronavirususa 7days Is Enough For the Virus To generate How does US Put 2 5B while Kenya Will only Use 100M To fight the Coroner Virus If it gets to Kenya ItsKingangi coronavirus Serikali Killed Us Impunity Corrupt Leadership,Twitter for Android,233,1.23271E+18,3292450065,ToshNdunguKE,FALSE,FALSE,0,0,NA,NA
166534146,1.23292E+18,2/27/20 6:41, BladesOfBmore We gotta add vaccines to this list Managing this coronavirus pandemic is especially problematic in America the only major country on earth that doesn't have socialised medicine It's a prime example of the importance of MedicareForAll We just can't elect Bernie fast enough ,Twitter for iPad,279,1.23292E+18,1.11462E+18,BladesOfBmore,FALSE,FALSE,1,0,NA,NA
3910925474,1.23292E+18,2/27/20 6:41, Chinese health authority said on Thursday it received reports of 433 new confirmed cases of novel coronavirus infection and 29 deaths on Wednesday from 31 provincial-level regions on the mainland The overall confirmed cases on the mainland had reached 78 497 COVID19 ,Twitter Web App,271,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
3910925474,1.23292E+18,2/27/20 6:35,One new coronavirus case was reported in Shanghai in the latest 12 hours as of midnight Wednesday said the Shanghai Health Commission So far the city has reported 337 infections and ruled out 2 285 suspected cases COVID19 fightingcoronavirus ,Twitter Web App,250,NA,NA,NA,FALSE,FALSE,0,1,NA,NA
1056850669,1.23292E+18,2/27/20 6:41, CoronaVirus Air India evacuates 119 Indians stranded onboard DiamondPrincess ,Twitter Web Client,104,NA,NA,NA,FALSE,FALSE,4,0,NA,NA
115624836,1.23292E+18,2/27/20 6:41, RoboSenseLiDAR Copyright infringement using Wonder Woman theme for a video coronavirus nCoV CoronaOutbreak WHO Pandemic Epidemic China SARS H1N1 NCP COVID19,Twitter Web App,152,1.2305E+18,8.00532E+17,RoboSenseLiDAR,FALSE,FALSE,0,0,NA,NA
94667476,1.23292E+18,2/27/20 6:41,More details on why the U S has such limited capability to test for COVID19 coronavirus right now Just six states are doing any testing and every result currently needs to be confirmed by a second round of testing at CDC ,Twitter for Android,250,1.23291E+18,94667476,jeremyhsu,TRUE,FALSE,0,0,NA,NA
238654354,1.23292E+18,2/27/20 6:41,Italy has already 400 cases of coronavirus and the US only 15 Hmmm I wonder why the difference Pssst hint border control works ,Twitter for iPhone,133,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
3896595553,1.23292E+18,2/27/20 6:41,For those like me still puzzled by WorldBank's Pandemic Emergency Financing Facility amp PandemicBonds thus far benefitting investors more than outbreak responders this 2019 piece by BrimBangin clarewenham is helpful COVID19 coronavirus Ebola ,Twitter Web App,282,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
599828678,1.23292E+18,2/27/20 6:41,Can we all stop pretending like there is going to be an Olympic in japan If we're all going to be REAL here It's NOT happening CNN u can break the news now coronavirus ,Twitter for iPhone,178,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
1.22348E+18,1.23292E+18,2/27/20 6:41,UPDATED CORONA CHART The 27nd of Feb Trend for the Corona Virus Growth Worldwide Current trend is showing approx 100 000 cases the 5th of March Growth Pace currently seem to be slowing down due to fewer reported cases in China coronavirus datavisualization Prediction,Twitter for iPhone,274,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
2219996760,1.23292E+18,2/27/20 6:41, realDonaldTrump Worse yet the President out some joker that believed smoking didn't kill and he let a HIV outbreak happen in his watch in charge of the coronavirus ,Twitter for Android,153,1.23291E+18,25073877,realDonaldTrump,FALSE,FALSE,0,0,NA,NA
38392608,1.23292E+18,2/27/20 6:41,What about the ClimateCrisis emergency response plan That particular crisis has been upon us for years yet not action whatsoever AuspolSoCorrupt auspol coronavirus ,Twitter Web App,174,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
306127388,1.23292E+18,2/27/20 6:34,How the coronavirus could spark a severe slowdown or recession in America SEE DETAILS AT gt virus coronavirus sars flu china trump ,Clickclickme,188,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
306127388,1.23292E+18,2/27/20 6:34,Can the coronavirus be spread by people who don't have symptoms SEE DETAILS AT gt virus coronavirus sars flu china trump ,Clickclickme,179,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
306127388,1.23292E+18,2/27/20 6:41,The coronavirus is spreading outside China narrowing hope to eliminate it SEE DETAILS AT gt virus coronavirus sars flu china trump ,Clickclickme,189,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
306127388,1.23292E+18,2/27/20 6:30,First US docs to analyze coronavirus patients' lungs say insight could lead to quicker diagnosis SEE DETAILS AT gt virus coronavirus sars flu deathtoll china trump ,Clickclickme,222,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
306127388,1.23292E+18,2/27/20 6:34,Can the coronavirus be spread by people who don't have symptoms SEE DETAILS AT gt virus coronavirus sars flu china trump ,Clickclickme,179,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
306127388,1.23292E+18,2/27/20 6:41,The coronavirus is spreading outside China narrowing hope to eliminate it SEE DETAILS AT gt virus coronavirus sars flu china trump ,Clickclickme,189,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
2234687149,1.23292E+18,2/27/20 6:41, littledeekay Surely anyone with any sense would prepare a statement and stick with it instead of a rambling incoherent chat unreassured trump TrumpVirus coronavirus coronavirususa,Twitter for iPhone,172,1.23281E+18,477012156,littledeekay,FALSE,FALSE,0,0,NA,NA
1.12367E+18,1.23292E+18,2/27/20 6:41, Trump just distanced himself from the virus placing VP over it was a maneuver that will allow blame to be mitigated Dow future show 400 point drop Prepare for more drops Long crypto xrp bitcoin ripple XRPCommunity coronavirus xrpthestandard Crypto cryptocurrency ,Twitter for iPhone,277,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
