,census_bg,Total Area in acres,Total Land Area in acres,Tree Canopy in acres,Tree Canopy area in percent,Vegetation in acres,Vegetation Percentage,Building area in acres,Building area in percent,Total Impervious Area in acres,Total Impervious Area in percent,Road Acres,Road Area in percent,Sidewalk Area in acres,Sidewalk Area in percent,Other Impervious Area in acres,Other Impervious Area in percent,Surface Water Area in acres,Surface Water Area in percent,Soil area in acres,Soil area in percent,Urban Tree Canopy area in acres,Urban Tree Canopy area percent,Possible Vegetation Planting Area in acres,Possible Vegetation Planting Area in percent,Total Possible Planting Area in acres,Total Possible Planting Area in percent,Impervious Possible Planting Area in acres,Impervious Possible Planting Area in percent,Unsuitable Impervious Planting Buildings and Roads Area in acres,Unsuitable Impervious Planting Buildings and Roads Area in percent,Total Unsuitable Planting Area in acres,Total Unsuitable Planting Area in percent,Unsuitable Soil and Vegetation Area in acres,Unsuitable Soil and Vegetation Area in percent,Unsuitable Other Land Area in acres,Unsuitable Other Land Area in percent,SHAPEAREA,SHAPELEN,Geographic Area Name,Income in the past 12 months below poverty level,Median household income in the past 12 months,Total Population,Total Population of one race,Total White Population,Total African American Population,Total American Indian Population,Total Asian Population,Total Native Hawaiian Population,Total Population of Other Races
303,110010077031,90.57,90.57,51.46,56.81793088,11.98,13.22733797,8.52,9.40708844,27.13,29.95473115,10.32,11.39450149,2.48,2.73821354,5.8,6.4038865,0.0,0.0,0.0,0.0,51.46,56.81793088,11.36,12.54278459,19.27,21.27636083,7.92,8.74461742,18.85,20.81263111,19.84,21.90570829,0.0,0.0,0.99,1.09307718,3945206.49660543,9780.403574054251,"Block Group 1, Census Tract 77.03, District of Columbia, District of Columbia",22,47092,984.0,940.0,32.0,783.0,8.0,2.0,1.0,114.0
304,110010077032,75.09,75.09,32.52,43.30803036,16.14,21.49420695,5.89,7.84392063,26.41,35.17112798,11.36,15.12851245,1.98,2.6368357999999996,7.18,9.5618591,0.0,0.0,0.01,0.01331735,32.52,43.30803036,15.52,20.668531100000003,22.96,30.57664136,7.44,9.90811027,17.25,22.97243308,19.61,26.11532827,0.01,0.01331735,2.34,3.11626049,3270820.30249453,10259.1112939085,"Block Group 2, Census Tract 77.03, District of Columbia, District of Columbia",81,45483,1221.0,1169.0,15.0,1125.0,9.0,3.0,1.0,16.0
305,110010077033,64.63,64.63,16.12,24.94197741,15.95,24.67894167,10.39,16.07612564,31.93,49.40430141,11.57,17.90190314,4.4,6.80798391,5.56,8.60281603,0.0,0.0,0.64,0.9902521999999999,16.12,24.94197741,15.84,24.50874207,25.27,39.099489399999996,9.43,14.59074733,21.97,33.99350147,23.24,35.95853319,0.59,0.91288875,0.68,1.05214297,2815142.52552072,7719.881004166529,"Block Group 3, Census Tract 77.03, District of Columbia, District of Columbia",297,16903,2272.0,2199.0,35.0,2116.0,6.0,0.0,3.0,39.0
306,110010077034,19.59,19.59,6.46,32.97600817,2.75,14.03777437,2.87,14.6503318,10.32,52.67993874,4.58,23.37927514,0.97,4.95150587,1.9,9.69882593,0.0,0.0,0.06,0.30627871,6.46,32.97600817,2.73,13.93568147,5.57,28.43287392,2.85,14.5482389,7.45,38.02960694,7.56,38.59111792,0.06,0.30627871,0.05,0.25523226,853581.16297996,5621.61140405406,"Block Group 4, Census Tract 77.03, District of Columbia, District of Columbia",86,94605,750.0,708.0,4.0,679.0,5.0,3.0,0.0,17.0
307,110010077071,93.01,93.01,31.16,33.501774,19.38,20.8364692,12.01,12.91259004,42.48,45.67250833,16.68,17.93355553,3.8,4.0855822,9.99,10.74078056,0.0,0.0,0.0,0.0,31.16,33.501774,18.18,19.54628535,30.64,32.94269433,12.46,13.39640899,28.69,30.84614558,31.21,33.55553166,0.0,0.0,2.52,2.70938609,4051479.99666029,10222.703793258299,"Block Group 1, Census Tract 77.07, District of Columbia, District of Columbia",152,30185,1458.0,1393.0,41.0,1297.0,9.0,6.0,1.0,39.0
308,110010077072,115.24,115.24,42.47,36.85352308,21.63,18.76952447,14.17,12.29607775,51.15,44.38562999,17.44,15.13363415,3.57,3.09788268,15.97,13.858035399999999,0.0,0.0,0.0,0.0,42.47,36.85352308,21.54,18.69142659,37.55,32.58417216,16.0,13.88406803,31.59,27.41235682,35.23,30.570982300000004,0.0,0.0,3.64,3.15862548,5020134.56167765,9268.51269384263,"Block Group 2, Census Tract 77.07, District of Columbia, District of Columbia",69,67438,1046.0,1017.0,22.0,972.0,0.0,3.0,0.0,20.0
309,110010077081,31.86,31.86,9.91,31.10483365,4.35,13.65348399,4.94,15.50533584,17.47,54.83364721,5.1,16.00753296,1.44,4.51977401,6.0,18.83239171,0.0,0.0,0.12,0.37664783,9.91,31.10483365,4.35,13.65348399,11.78,36.9742624,7.43,23.32077841,10.03,31.48148148,10.16,31.88951664,0.12,0.37664783,0.01,0.03138732,1387681.03426004,5181.62868195755,"Block Group 1, Census Tract 77.08, District of Columbia, District of Columbia",201,17339,1174.0,1154.0,8.0,1120.0,15.0,3.0,0.0,8.0
310,110010077082,179.75,149.62,76.68,51.24983291,19.27,12.87929421,7.43,4.96591365,52.35,34.98863788,22.3,14.90442454,2.47,1.65084882,20.15,13.46745088,30.13,16.76266964,1.32,0.882235,76.68,51.24983291,19.27,12.87929421,41.87,27.98422671,22.6,15.1049325,29.72,19.86365459,31.07,20.76594038,1.32,0.882235,0.02,0.0133672,7829624.77034825,14691.650310083502,"Block Group 2, Census Tract 77.08, District of Columbia, District of Columbia",46,33026,1400.0,1356.0,21.0,1302.0,6.0,7.0,1.0,19.0
311,110010077091,190.86,170.8,60.72,35.55035129,52.73,30.87236534,10.96,6.41686183,56.36,32.99765808,32.82,19.21545667,4.9,2.86885246,7.68,4.49648712,20.05,10.50770609,0.99,0.57962529,60.72,35.55035129,44.72,26.18266979,56.61,33.1440281,11.89,6.96135831,43.3,25.35128806,53.47,31.30562061,0.95,0.55620609,9.23,5.40398126,8313561.44264593,13338.852044084499,"Block Group 1, Census Tract 77.09, District of Columbia, District of Columbia",31,39722,1249.0,1215.0,58.0,1130.0,5.0,9.0,0.0,13.0
312,110010077092,37.62,37.62,11.95,31.76501861,6.24,16.58692185,5.86,15.57682084,19.38,51.51515152,8.14,21.637426899999998,2.11,5.60871877,3.28,8.71876661,0.0,0.0,0.05,0.13290803,11.95,31.76501861,6.08,16.16161616,11.03,29.3195109,4.95,13.15789474,13.99,37.18766614,14.64,38.91547049,0.05,0.13290803,0.6,1.59489633,1638614.19353412,5767.488079033989,"Block Group 2, Census Tract 77.09, District of Columbia, District of Columbia",57,25688,823.0,791.0,33.0,744.0,2.0,0.0,0.0,12.0
