address,engineType,exterior,fuel,interior,name,smartPhoneRequired,vin,lon,lat,date,time_mil
"4711 Reservoir Rd NW, Washington, DC 20007, USA",CE,GOOD,60,GOOD,EW7151,FALSE,WMEEJ3BA3EK766814,-77.09016,38.91424,11/28/2016 2:35,1.48033E+12
"3101-3235 Van Ness St NW, Washington, DC 20008, USA",CE,GOOD,84,GOOD,EU6617,FALSE,WMEEJ3BA9EK761908,-77.06399,38.94322,11/30/2016 20:15,1.48057E+12
"1501-1599 Portal Dr NW, Washington, MD 20012, USA",CE,GOOD,63,GOOD,EW7119,FALSE,WMEEJ3BA1EK769906,-77.03525,38.99081,11/23/2016 21:30,1.47997E+12
"1208 Owen Pl NE, Washington, DC 20002, USA",CE,GOOD,100,GOOD,EZ4303,FALSE,WMEEJ3BAXEK757267,-76.98758,38.90588,11/18/2016 13:15,1.4795E+12
"4500-4598 Q St NW, Washington, DC 20007, USA",CE,GOOD,34,GOOD,EF6567,TRUE,WMEFJ5DA0GK139245,-77.08605,38.90941,11/14/2016 7:10,1.47914E+12
"3810-3898 Newark St NW, Washington, DC 20016, USA",CE,GOOD,96,GOOD,EK6771,FALSE,WMEEJ3BA8DK625431,-77.07665,38.93569,11/29/2016 14:40,1.48046E+12
"1236 Owen Pl NE, Washington, DC 20002, USA",CE,GOOD,60,GOOD,EW7190,FALSE,WMEEJ3BA9EK766249,-76.98665,38.90549,12/4/2016 4:45,1.48086E+12
"404 Richardson Pl NW, Washington, DC 20001, USA",CE,GOOD,100,GOOD,EZ4360,FALSE,WMEEJ3BA0EK773445,-77.01655,38.91324,12/4/2016 17:05,1.4809E+12
"248 Gallatin St NW, Washington, DC 20011, USA",CE,GOOD,33,GOOD,R34059,FALSE,WMEEJ3BA1EK733293,-77.01524,38.95221,11/27/2016 14:00,1.48028E+12
"3843 Macomb St NW, Washington, DC 20016, USA",CE,GOOD,21,GOOD,R34159,TRUE,WMEFJ5DA0GK139942,-77.07664,38.93355,11/30/2016 13:45,1.48054E+12
"931 Westminster St NW, Washington, DC 20001, USA",CE,GOOD,60,GOOD,EZ4390,FALSE,WMEEJ3BA7EK775130,-77.0252,38.91489,11/13/2016 19:25,1.47909E+12
"1200 S Nash St, Arlington, VA 22202, USA",CE,GOOD,72,GOOD,EZ9127,FALSE,WMEEJ3BA8EK772169,-77.06652,38.86384,11/29/2016 11:45,1.48045E+12
"1226 Vermont Ave NW, Washington, DC 20005, USA",CE,GOOD,66,GOOD,EZ4308,FALSE,WMEEJ3BA1EK764737,-77.03144,38.90668,11/18/2016 7:15,1.47948E+12
"1624-1630 Crescent Pl NW, Washington, DC 20009",CE,GOOD,63,GOOD,EZ4286,FALSE,WMEEJ3BA2EK766450,-77.03826,38.92059,11/10/2016 5:05,1.47878E+12
"3414 29th St NW, Washington, DC 20008, USA",CE,GOOD,75,GOOD,EW7139,FALSE,WMEEJ3BAXEK768091,-77.0599,38.93494,11/28/2016 12:45,1.48037E+12
"1-99 5th St NE, Washington, DC 20002, USA",CE,GOOD,66,GOOD,EZ4309,FALSE,WMEEJ3BA7EK764919,-76.99945,38.89066,11/16/2016 0:40,1.47929E+12
"4720 Linnean Ave NW, Washington, DC 20008, USA",CE,GOOD,48,GOOD,EZ4278,FALSE,WMEEJ3BAXEK768611,-77.05934,38.95155,12/4/2016 6:40,1.48086E+12
"1835 Newton St NW, Washington, DC 20010, USA",CE,GOOD,100,GOOD,EK6726,FALSE,WMEEJ3BAXDK623485,-77.04256,38.93418,11/26/2016 20:10,1.48022E+12
"1308 G St NW, Washington, DC 20004, USA",CE,GOOD,36,GOOD,EZ4356,FALSE,WMEEJ3BA3EK776551,-77.03047,38.89825,12/1/2016 10:30,1.48062E+12
"90 Webster St NE, Washington, DC 20011",CE,GOOD,84,GOOD,EZ4399,FALSE,WMEEJ3BA0EK775857,-77.00624,38.94456,11/9/2016 18:15,1.47874E+12
"526 10th St NE, Washington, DC 20002, USA",CE,GOOD,71,GOOD,R33646,TRUE,WMEFJ5DA6GK078080,-76.99267,38.89711,11/11/2016 22:15,1.47893E+12
"1503 Marion St NW, Washington, DC 20001, USA",CE,GOOD,69,GOOD,EU6691,FALSE,WMEEJ3BA8EK763634,-77.02091,38.90979,12/1/2016 20:55,1.48065E+12
"3801 39th St NW, Washington, DC 20016, USA",CE,GOOD,69,GOOD,EZ4283,FALSE,WMEEJ3BA2EK768988,-77.07807,38.93934,12/1/2016 0:15,1.48058E+12
"1412 22nd St SE, Washington, DC 20020, USA",CE,GOOD,100,GOOD,R34421,TRUE,WMEFJ5DA9GK123397,-76.97501,38.87352,11/15/2016 2:00,1.4792E+12
United States,CE,GOOD,100,GOOD,EZ4325,FALSE,WMEEJ3BAXEK762386,-77.01904,38.92949,11/10/2016 4:00,1.47878E+12
"1351 Maryland Ave NE, Washington, DC 20002, USA",CE,GOOD,100,GOOD,EZ9133,FALSE,WMEEJ3BA0EK773588,-76.98669,38.89848,11/23/2016 22:40,1.47997E+12
"5208 45th St NW, Washington, DC 20015, USA",CE,GOOD,37,GOOD,R33646,TRUE,WMEFJ5DA6GK078080,-77.08873,38.9575,11/21/2016 7:40,1.47974E+12
"1776 K St NW, Washington, DC 20006, USA",CE,GOOD,100,GOOD,EW7116,FALSE,WMEEJ3BA5EK761226,-77.04111,38.90237,11/16/2016 5:35,1.4793E+12
"419 W St NE, Washington, DC 20002, USA",CE,GOOD,39,GOOD,R33753,FALSE,WMEEJ3BA9EK734742,-76.99976,38.91914,11/13/2016 5:15,1.47904E+12
"1215 N Fort Myer Dr, Arlington, VA 22209, USA",CE,GOOD,100,GOOD,R34019,FALSE,WMEEJ3BA7EK735520,-77.07493,38.88889,11/23/2016 13:10,1.47994E+12
"1234 Simms Pl NE, Washington, DC 20002, USA",CE,GOOD,100,GOOD,EZ4283,FALSE,WMEEJ3BA2EK768988,-76.98412,38.90916,11/17/2016 5:10,1.47939E+12
"6614 Eastern Ave, Washington, DC 20012, USA",CE,GOOD,57,GOOD,EZ4287,FALSE,WMEEJ3BA8EK766601,-77.00883,38.97063,11/17/2016 13:15,1.47942E+12
"3221-3233 Walbridge Pl NW, Washington, DC 20010, USA",CE,GOOD,57,GOOD,EU6670,FALSE,WMEEJ3BA6EK752955,-77.04536,38.9321,11/12/2016 23:20,1.47902E+12
"2920-2998 Arlington Blvd, Arlington, VA 22204",CE,GOOD,78,GOOD,R33795,TRUE,WMEFJ5DA6GK139718,-77.09053,38.87312,11/9/2016 15:10,1.47873E+12
"5040 Astor Pl SE, Washington, DC 20019, USA",CE,GOOD,87,GOOD,FB2286,TRUE,WMEFJ5DA7GK139436,-76.92886,38.88722,11/16/2016 12:00,1.47933E+12
"720 16th St NE, Washington, DC 20002, USA",CE,GOOD,34,GOOD,EC6576,TRUE,WMEFJ5DA7GK126105,-76.98167,38.89937,11/22/2016 2:35,1.47981E+12
"3195-3319 Banneker Dr NE, Washington, DC 20018, USA",CE,GOOD,50,GOOD,R34437,TRUE,WMEFJ5DA1GK127542,-76.96149,38.92613,12/4/2016 4:35,1.48085E+12
"1002 4th St NE, Washington, DC 20002, USA",CE,GOOD,100,GOOD,R34076,FALSE,WMEEJ3BA0EK734581,-77.00061,38.90274,11/23/2016 21:45,1.47997E+12
"1839 Ontario Pl NW, Washington, DC 20009, USA",CE,GOOD,100,GOOD,EU6690,FALSE,WMEEJ3BA0EK764289,-77.04345,38.9249,11/26/2016 7:35,1.48017E+12
"41-99 Evarts St NE, Washington, DC 20002, USA",CE,GOOD,100,GOOD,R34051,FALSE,WMEEJ3BA6EK733726,-77.00809,38.92449,11/21/2016 1:45,1.47972E+12
"1248 Florida Ave NW, Washington, DC 20009, USA",CE,GOOD,78,GOOD,EZ4210,FALSE,WMEEJ3BA6EK749411,-77.02909,38.9206,11/17/2016 15:30,1.47943E+12
"3801 39th St NW, Washington, DC 20016, USA",CE,GOOD,50,GOOD,EF6575,TRUE,WMEFJ5DA3GK137991,-77.07801,38.93929,11/22/2016 23:10,1.47989E+12
"2924 28th St NW, Washington, DC 20008, USA",CE,GOOD,30,GOOD,EZ4350,FALSE,WMEEJ3BA9EK767630,-77.05696,38.92941,11/27/2016 3:00,1.48024E+12
"5033 V St NW, Washington, DC 20007, USA",CE,GOOD,25,GOOD,R34429,TRUE,WMEFJ5DA5GK125664,-77.09844,38.91705,11/30/2016 23:55,1.48058E+12
"4301-4399 Garrison St NW, Washington, MD 20016, USA",CE,GOOD,100,GOOD,R33758,FALSE,WMEEJ3BA7EK734190,-77.08502,38.95601,11/15/2016 6:15,1.47922E+12
"1882 Monroe St NW, Washington, DC 20010",CE,GOOD,36,GOOD,R34023,FALSE,WMEEJ3BA8EK736370,-77.04391,38.93328,11/9/2016 21:55,1.47876E+12
